energy,intensity,InitialState,FinalState,alpha,gamma
120.30,0.04,2875.35_96Mo,2754.94_96Mo,0,1
219.40,0.04,2438.43_96Mo,2219.25_96Mo,0,1
241.60,0.079808,1869.52_96Mo,1628.08_96Mo,0,1
314.27,2.43,2754.94_96Mo,2440.64_96Mo,0,1
316.50,1.4,2754.94_96Mo,2438.43_96Mo,0,1
349.90,0.07,2219.25_96Mo,1869.52_96Mo,0,1
350.10,0.02,1978.39_96Mo,1628.08_96Mo,0,1
352.50,0.02,1978.39_96Mo,1625.82_96Mo,0,1
371.80,0.07,1869.52_96Mo,1497.72_96Mo,0,1
434.71,0.75,2875.35_96Mo,2440.64_96Mo,0,1
460.04,0.43,2438.43_96Mo,1978.39_96Mo,0,1
481.00,0.08,1978.39_96Mo,1497.72_96Mo,0,1
535.78,0.41,2754.94_96Mo,2219.25_96Mo,0,1
568.88,0.92,2438.43_96Mo,1869.52_96Mo,0,1
591.30,0.11,2219.25_96Mo,1628.08_96Mo,0,1
719.50,0.2,1497.72_96Mo,778.21_96Mo,0,1
721.50,0.12,2219.25_96Mo,1497.72_96Mo,0,1
778.22,99.76,778.21_96Mo,0.00_96Mo,0,1
812.54,82,2440.64_96Mo,1628.08_96Mo,0,1
847.70,0.0189544,1625.82_96Mo,778.21_96Mo,0,1
849.86,98,1628.08_96Mo,778.21_96Mo,0,1
885.40,0.1,2754.94_96Mo,1869.52_96Mo,0,1
1091.30,1.1,1869.52_96Mo,778.21_96Mo,0,1
1126.85,15.2,2754.94_96Mo,1628.08_96Mo,0,1
1200.17,0.37,1978.39_96Mo,778.21_96Mo,0,1
1441.14,0.054,2219.25_96Mo,778.21_96Mo,0,1
1497.72,0.093,1497.72_96Mo,0.00_96Mo,0,1
1625.70,0.0009976,1625.82_96Mo,0.00_96Mo,0,1
