 mean energy, unc, intensity beta %, unc, start level energy,max energy, unc, log ft, unc, transition type, parent Z, N, symbol, parent energy , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc,Q , unc, Z,N, symbol 
33.45,0.2,0.0199,0.0012,1692.40,126.5,0.7,11.09,0.03, ,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
47.38,0.21,1.831,0.015,1643.421,175.5,0.7,9.567,0.007,A,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
58.49,0.21,0.1067,0.0023,1605.596,213.3,0.7,11.07,0.01,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
75.29,0.22,0.0456,0.0022,1550.17,268.7,0.7,11.76,0.02,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
112.34,0.23,2.43,0.019,1434.020,384.9,0.7,10.537,0.005,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
151.44,0.25,0.0189,0.001,1318.456,500.4,0.7,13.03,0.03,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
164.1,0.25,0.0232,0.0012,1282.24,536.7,0.7,13.04,0.03,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
221.69,0.26,13.73,0.11,1123.1855,695.7,0.7,10.654,0.004,A,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
226.9,0.27,0.264,0.009,1109.200,709.7,0.7,12.4,0.02,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
295.12,0.28,0.284,0.006,930.546,888.4,0.7,12.71,0.01,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
364.69,0.29,0.913,0.011,755.3960,1063.5,0.7,12.49,0.01,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
535.49,0.3,8.24,0.19,344.2789,1474.6,0.7,12.06,0.01,1NU,63,89,Eu,0, ,3-, ,13.517,9,Y,426554968.39856005,284012.333771328,B-,27.92,0.13, ,-1.9401, ,2.71, ,1818.7,0.7,64,88,Gd,
28.4,0.4,0.05,0.008,1756.04,108.5,0.7,6.39,0.07,A,63,89,Eu,45.5998,0.0004,0-, ,9.3116,13,h,33521.76,4.68,B-,73,3, , , , , ,1818.7,0.7,64,88,Gd,
118.6,0.4,0.012,0.002,1460.54,404,0.7,8.8,0.09, ,63,89,Eu,45.5998,0.0004,0-, ,9.3116,13,h,33521.76,4.68,B-,73,3, , , , , ,1818.7,0.7,64,88,Gd,
168.7,0.4,1.6,0.3,1314.62,549.9,0.7,7.13,0.07,A,63,89,Eu,45.5998,0.0004,0-, ,9.3116,13,h,33521.76,4.68,B-,73,3, , , , , ,1818.7,0.7,64,88,Gd,
267.3,0.5,0.087,0.014,1047.87,816.6,0.7,8.84,0.07,1NU,63,89,Eu,45.5998,0.0004,0-, ,9.3116,13,h,33521.76,4.68,B-,73,3, , , , , ,1818.7,0.7,64,88,Gd,
554,0.5,1.7,0.3,344.29,1520.2,0.7,9.55,0.07,1U,63,89,Eu,45.5998,0.0004,0-, ,9.3116,13,h,33521.76,4.68,B-,73,3, , , , , ,1818.7,0.7,64,88,Gd,
704,0.5,70,4,0.0,1864.5,0.7,7.42,0.02,1NU,63,89,Eu,45.5998,0.0004,0-, ,9.3116,13,h,33521.76,4.68,B-,73,3, , , , , ,1818.7,0.7,64,88,Gd,

